onet_code,title,task_id,task,task_type
15-1252.00,Software Developers,21662,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,Core
15-1252.00,Software Developers,21669,"Develop or direct software system testing or validation procedures, programming, or documentation.",Core
15-1252.00,Software Developers,21664,"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.",Core
15-1252.00,Software Developers,21670,"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.",Core
15-1252.00,Software Developers,21673,"Prepare reports or correspondence concerning project specifications, activities, or status.",Core
15-1252.00,Software Developers,21661,"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",Core
15-1252.00,Software Developers,21676,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Core
15-1252.00,Software Developers,21667,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design.",Core
15-1252.00,Software Developers,21668,Determine system performance standards.,Core
15-1252.00,Software Developers,21665,"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.",Core
