soc_code,job_title,req_count,open_reqs,filled_reqs,avg_days_to_fill,avg_bill_rate,avg_pay_rate,avg_margin,avg_submittals,req_ids
15-1252,Senior Software Developer,1,0,1,44.0,105.0,68.0,37.0,14.0,REQ-1001
15-1252,Software Developer II,1,0,1,29.0,92.0,60.0,32.0,9.0,REQ-1002
15-1252,Full Stack Developer,1,1,0,,88.0,58.0,30.0,6.0,REQ-1003
15-1252,Software Developer - Backend,1,0,1,46.0,98.0,64.0,34.0,11.0,REQ-1004
15-1252,Junior Software Developer,1,0,1,19.0,75.0,48.0,27.0,18.0,REQ-1005
17-2071,Senior Electrical Engineer,1,0,1,47.0,95.0,62.0,33.0,8.0,REQ-2001
17-2071,Electrical Engineer II,1,0,1,43.0,88.0,57.0,31.0,7.0,REQ-2002
17-2071,Electrical Design Engineer,1,1,0,,90.0,59.0,31.0,4.0,REQ-2003
17-2071,Electrical Engineer - Power Systems,1,0,1,51.0,97.0,63.0,34.0,9.0,REQ-2004
17-2071,Electrical Engineer - Entry Level,1,0,1,25.0,72.0,47.0,25.0,15.0,REQ-2005
19-4031,Chemical Technician,1,0,1,36.0,45.0,29.0,16.0,10.0,REQ-3001
19-4031,Chemical Lab Technician,1,0,1,33.0,42.0,27.0,15.0,8.0,REQ-3002
19-4031,Senior Chemical Technician,1,1,0,,52.0,34.0,18.0,3.0,REQ-3003
19-4031,Chemical Process Technician,1,0,1,37.0,47.0,30.0,17.0,7.0,REQ-3004
19-4031,QC Chemical Technician,1,0,1,18.0,40.0,26.0,14.0,12.0,REQ-3005
